GHO|Indicator|PUBLISHSTATE|PUBLISH STATES|YEAR|Year|REGION|WHO region|ISO|Country|Value
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2002|2002|AMR|Americas|CAN|Canada|1.916
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2002|2002|EUR|Europe|FIN|Finland|3.165
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2002|2002|WPR|Western Pacific|MNG|Mongolia|2.631
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2002|2002|AMR|Americas|SLV|El Salvador|1.237
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2002|2002|EUR|Europe|SWE|Sweden|3.284
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2002|2002|WPR|Western Pacific|TUV|Tuvalu|0.545
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2002|2002|AMR|Americas|URY|Uruguay|3.652
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2003|2003|AMR|Americas|CAN|Canada|2.139
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2003|2003|AFR|Africa|ETH|Ethiopia|0.027
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2003|2003|WPR|Western Pacific|FJI|Fiji|0.453
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2003|2003|AMR|Americas|PAN|Panama|1.379
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2003|2003|EMR|Eastern Mediterranean|SYR|Syrian Arab Republic|1.375
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2003|2003|EMR|Eastern Mediterranean|TUN|Tunisia|0.833
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2003|2003|EUR|Europe|TUR|Turkey|1.324
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2004|2004|AFR|Africa|CPV|Cabo Verde|0.488
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2004|2004|EMR|Eastern Mediterranean|DJI|Djibouti|0.181
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2004|2004|AFR|Africa|GNQ|Equatorial Guinea|0.302
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2004|2004|SEAR|South-East Asia|IND|India|0.597
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2004|2004|EMR|Eastern Mediterranean|JOR|Jordan|2.03
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2004|2004|EUR|Europe|KAZ|Kazakhstan|3.555
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2004|2004|AFR|Africa|KEN|Kenya|0.037
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2004|2004|EMR|Eastern Mediterranean|MAR|Morocco|0.515
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2004|2004|AFR|Africa|MDG|Madagascar|0.291
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2004|2004|AFR|Africa|MRT|Mauritania|0.105
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2004|2004|EMR|Eastern Mediterranean|PAK|Pakistan|0.739
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2004|2004|AMR|Americas|PAN|Panama|1.36
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2004|2004|WPR|Western Pacific|PHL|Philippines|1.153
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2004|2004|AFR|Africa|SLE|Sierra Leone|0.033
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2004|2004|AFR|Africa|ZWE|Zimbabwe|0.161
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2005|2005|EMR|Eastern Mediterranean|ARE|United Arab Emirates|1.545
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2005|2005|AFR|Africa|CIV|Côte d'Ivoire|0.094
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2005|2005|AFR|Africa|GIN|Guinea|0.1
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2005|2005|AFR|Africa|GMB|Gambia|0.109
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2005|2005|EUR|Europe|ISL|Iceland|3.627
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2005|2005|EMR|Eastern Mediterranean|JOR|Jordan|2.264
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2005|2005|EUR|Europe|KAZ|Kazakhstan|3.744
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2005|2005|EUR|Europe|TUR|Turkey|1.378
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2005|2005|AMR|Americas|USA|United States of America|2.409
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2006|2006|SEAR|South-East Asia|BGD|Bangladesh|0.309
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2006|2006|AMR|Americas|BRA|Brazil|1.694
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2006|2006|AMR|Americas|CUB|Cuba|6.33
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2006|2006|EMR|Eastern Mediterranean|JOR|Jordan|2.352
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2006|2006|AMR|Americas|MEX|Mexico|1.864
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2006|2006|SEAR|South-East Asia|MMR|Myanmar|0.402
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2006|2006|EMR|Eastern Mediterranean|QAT|Qatar|2.757
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2006|2006|EMR|Eastern Mediterranean|SDN|Sudan|0.3
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2006|2006|WPR|Western Pacific|SGP|Singapore|1.582
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2006|2006|AFR|Africa|TZA|United Republic of Tanzania|0.008
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2007|2007|AFR|Africa|CPV|Cabo Verde|0.257
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2007|2007|AFR|Africa|DZA|Algeria|1.207
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2007|2007|AFR|Africa|GMB|Gambia|0.1
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2007|2007|EUR|Europe|HUN|Hungary|3.206
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2007|2007|EMR|Eastern Mediterranean|LBN|Lebanon|3.062
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2007|2007|AFR|Africa|NGA|Nigeria|0.403
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2007|2007|WPR|Western Pacific|NZL|New Zealand|2.384
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2007|2007|SEAR|South-East Asia|THA|Thailand|0.3
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2007|2007|WPR|Western Pacific|VNM|Viet Nam|1.199
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2007|2007|WPR|Western Pacific|VUT|Vanuatu|0.119
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2008|2008|AFR|Africa|CAF|Central African Republic|0.041
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2008|2008|EUR|Europe|CYP|Cyprus|2.57
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2008|2008|EUR|Europe|DNK|Denmark|3.408
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2008|2008|AFR|Africa|GNB|Guinea-Bissau|0.045
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2008|2008|EUR|Europe|KAZ|Kazakhstan|3.984
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2008|2008|SEAR|South-East Asia|LKA|Sri Lanka|0.587
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2008|2008|AFR|Africa|NGA|Nigeria|0.403
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2008|2008|EMR|Eastern Mediterranean|QAT|Qatar|5.299
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2008|2008|AMR|Americas|SLV|El Salvador|1.596
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2008|2008|EMR|Eastern Mediterranean|SYR|Syrian Arab Republic|1.5
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2008|2008|AFR|Africa|TGO|Togo|0.053
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2008|2008|WPR|Western Pacific|TUV|Tuvalu|0.909
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2009|2009|AMR|Americas|CHL|Chile|1.024
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2009|2009|WPR|Western Pacific|CHN|China|1.415
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2009|2009|AMR|Americas|GTM|Guatemala|0.932
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2009|2009|AFR|Africa|KEN|Kenya|0.182
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2009|2009|EUR|Europe|KGZ|Kyrgyzstan|2.385
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2009|2009|EMR|Eastern Mediterranean|QAT|Qatar|5.818
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2009|2009|AFR|Africa|RWA|Rwanda|0.056
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2009|2009|SEAR|South-East Asia|THA|Thailand|0.342
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2009|2009|WPR|Western Pacific|TON|Tonga|0.602
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2009|2009|EMR|Eastern Mediterranean|TUN|Tunisia|1.19
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2009|2009|AFR|Africa|ZMB|Zambia|0.064
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2010|2010|WPR|Western Pacific|BRN|Brunei Darussalam|1.36
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2010|2010|EUR|Europe|HUN|Hungary|3.408
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2010|2010|EUR|Europe|KAZ|Kazakhstan|4.314
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2010|2010|EUR|Europe|MDA|Republic of Moldova|3.072
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2010|2010|SEAR|South-East Asia|MDV|Maldives|1.415
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2010|2010|WPR|Western Pacific|NRU|Nauru|0.714
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2010|2010|WPR|Western Pacific|NZL|New Zealand|2.735
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2010|2010|AFR|Africa|RWA|Rwanda|0.056
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2010|2010|EMR|Eastern Mediterranean|YEM|Yemen|0.197
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2010|2010|AFR|Africa|ZMB|Zambia|0.066
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2011|2011|AMR|Americas|BRA|Brazil|1.857
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2011|2011|EUR|Europe|FRA|France|3.381
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2011|2011|EUR|Europe|HRV|Croatia|2.842
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2011|2011|EUR|Europe|HUN|Hungary|2.96
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2011|2011|AMR|Americas|MEX|Mexico|2.095
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2011|2011|EUR|Europe|MNE|Montenegro|1.979
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2011|2011|EUR|Europe|TUR|Turkey|1.711
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2012|2012|EUR|Europe|IRL|Ireland|2.719
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2012|2012|EUR|Europe|ISL|Iceland|3.476
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2012|2012|EUR|Europe|MCO|Monaco|7.167
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2012|2012|EUR|Europe|MDA|Republic of Moldova|2.859
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2013|2013|AMR|Americas|CRI|Costa Rica|1.113
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2013|2013|AFR|Africa|ZAF|South Africa|0.776
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2010|2010|EUR|Europe|BLR|Belarus|3.511
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2010|2010|EUR|Europe|TJK|Tajikistan|1.828
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2011|2011|EUR|Europe|AZE|Azerbaijan|3.379
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2011|2011|EUR|Europe|LUX|Luxembourg|2.77
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1990|1990|EUR|Europe|HRV|Croatia|2.097
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1990|1990|EUR|Europe|HUN|Hungary|3.173
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1990|1990|WPR|Western Pacific|JPN|Japan|1.714
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1991|1991|AMR|Americas|ECU|Ecuador|1.163
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1991|1991|SEAR|South-East Asia|IND|India|1.26
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1991|1991|SEAR|South-East Asia|MDV|Maldives|0.198
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1993|1993|AMR|Americas|COL|Colombia|1.085
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1993|1993|AMR|Americas|ECU|Ecuador|1.109
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1993|1993|AFR|Africa|GAB|Gabon|0.215
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1993|1993|EMR|Eastern Mediterranean|PAK|Pakistan|0.528
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1993|1993|SEAR|South-East Asia|THA|Thailand|0.241
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1995|1995|AMR|Americas|KNA|Saint Kitts and Nevis|1.045
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1995|1995|EUR|Europe|LTU|Lithuania|4.136
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1995|1995|EMR|Eastern Mediterranean|TUN|Tunisia|0.666
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1995|1995|AMR|Americas|USA|United States of America|2.395
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1996|1996|EUR|Europe|HRV|Croatia|2.133
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1996|1996|WPR|Western Pacific|JPN|Japan|1.915
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1997|1997|AMR|Americas|ECU|Ecuador|1.342
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1997|1997|EMR|Eastern Mediterranean|PAK|Pakistan|0.595
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1997|1997|AFR|Africa|TCD|Chad|0.027
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1998|1998|AMR|Americas|ARG|Argentina|3.009
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1998|1998|AMR|Americas|CUB|Cuba|5.71
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1998|1998|EUR|Europe|TUR|Turkey|1.168
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1999|1999|AMR|Americas|ECU|Ecuador|1.397
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1999|1999|AMR|Americas|GRD|Grenada|0.728
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1999|1999|AMR|Americas|GTM|Guatemala|0.896
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1999|1999|EMR|Eastern Mediterranean|OMN|Oman|0.858
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1999|1999|EMR|Eastern Mediterranean|SYR|Syrian Arab Republic|1.324
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1999|1999|AFR|Africa|TCD|Chad|0.03
