"Indicator"|"Country"|"Population"
"Primary"|"Guyana"|120041
"Primary"|"Haiti"|1412131
"Primary"|"Holy See"|"NA"
"Primary"|"Honduras"|1105674
"Primary"|"Hungary"|379996
"Primary"|"Iceland"|29916
"Primary"|"India"|121985876
"Primary"|"Indonesia"|27602382
"Primary"|"Iran (Islamic Republic of)"|5295901
"Primary"|"Iraq"|4859384
"Primary"|"Ireland"|479090
"Primary"|"Israel"|775338
"Primary"|"Italy"|2792470
"Primary"|"Jamaica"|337234
"Primary"|"Japan"|6946083
"Primary"|"Jordan"|829647
"Primary"|"Kazakhstan"|916022
"Primary"|"Kenya"|6607560
"Primary"|"Kiribati"|13155
"Primary"|"Kuwait"|199239
"Primary"|"Kyrgyzstan"|392429
"Primary"|"Lao People's Democratic Republic"|743844
"Primary"|"Latvia"|107224
"Primary"|"Lebanon"|446523
"Primary"|"Lesotho"|351845
"Primary"|"Liberia"|634646
"Primary"|"Libya"|674088
"Primary"|"Liechtenstein"|1960
"Primary"|"Lithuania"|120620
"Primary"|"Luxembourg"|36185
"Primary"|"Madagascar"|2934012
"Primary"|"Malawi"|2481975
"Primary"|"Malaysia"|3157623
"Primary"|"Maldives"|45446
"Primary"|"Mali"|2235118
"Primary"|"Malta"|26235
"Primary"|"Marshall Islands"|8004
"Primary"|"Martinique"|"NA"
"Primary"|"Mauritania"|547205
"Primary"|"Mauritius"|109495
"Primary"|"Mexico"|14401818
"Primary"|"Micronesia (Federated States of)"|15894
"Primary"|"Monaco"|"NA"
"Primary"|"Mongolia"|217996
"Primary"|"Montenegro"|31725
"Primary"|"Montserrat"|466
"Primary"|"Morocco"|3532855
"Primary"|"Mozambique"|4723664
"Primary"|"Myanmar"|4489946
"Primary"|"Namibia"|378226
"Primary"|"Nauru"|1370
"Primary"|"Nepal"|3474325
"Primary"|"Netherlands"|1192088
"Primary"|"Nl Antilles"|"NA"
"Primary"|"New Caledonia"|"NA"
"Primary"|"New Zealand"|344287
"Primary"|"Nicaragua"|791313
"Primary"|"Niger"|2665022
"Primary"|"Nigeria"|25421252
"Primary"|"Niue"|148
"Primary"|"Norfolk Island"|"NA"
"Primary"|"Norway"|428866
"Primary"|"Oman"|282720
"Primary"|"Pakistan"|19783284
"Primary"|"Palau"|1416
"Primary"|"Palestine"|445251
"Primary"|"Panama"|430418
"Primary"|"Papua New Guinea"|1035147
"Primary"|"Paraguay"|861015
"Primary"|"Peru"|3508300
"Primary"|"Philippines"|13127317
"Primary"|"Poland"|2273758
"Primary"|"Portugal"|654348
"Primary"|"Puerto Rico"|316381
"Primary"|"Qatar"|68255
"Primary"|"Republic of Korea"|3202377
"Primary"|"Republic of Moldova"|150947
"Primary"|"Réunion"|"NA"
"Primary"|"Romania"|870749
"Primary"|"Russian Federation"|5153587
"Primary"|"Rwanda"|1881639
"Primary"|"Saint Helena"|"NA"
"Primary"|"Saint Kitts and Nevis"|6692
"Primary"|"Saint Lucia"|21963
"Primary"|"Saint Pierre and Miquelon"|"NA"
"Primary"|"Saint Vincent and the Grenadines"|13743
"Primary"|"Samoa"|27873
"Primary"|"San Marino"|1671
"Primary"|"Sao Tome and Principe"|26519
"Primary"|"Saudi Arabia"|3290971
"Primary"|"Senegal"|2007989
"Primary"|"Serbia"|295280
"Primary"|"Seychelles"|8162
"Primary"|"Sierra Leone"|915291
"Primary"|"Singapore"|"NA"
"Primary"|"Sint Maarten (Dutch part)"|"NA"
"Primary"|"Slovakia"|206475
"Primary"|"Slovenia"|108822
"Primary"|"Solomon Islands"|82921
"Primary"|"Somalia"|1684051
"Primary"|"South Africa"|6729860
"Primary"|"South Sudan"|1572925
"Primary"|"Spain"|2579666
"Primary"|"Sri Lanka"|1737313
"Primary"|"Sudan"|5684772
"Primary"|"Sudan (pre-secession)"|"NA"
"Primary"|"Suriname"|62919
"Primary"|"Swaziland"|208371
"Primary"|"Sweden"|567884
"Primary"|"Switzerland"|480423
"Primary"|"Syrian Arab Republic"|2056291
"Primary"|"Tajikistan"|679086
"Primary"|"Thailand"|5421763
"Primary"|"The former Yugoslav Republic of Macedonia"|122941
"Primary"|"Timor-Leste"|197535
"Primary"|"Togo"|979031
"Primary"|"Tokelau"|151
"Primary"|"Tonga"|15596
"Primary"|"Trinidad and Tobago"|123801
"Primary"|"Tunisia"|946671
"Primary"|"Turkey"|6478453
"Primary"|"Turkmenistan"|285028
"Primary"|"Turks and Caicos Islands"|2950
"Primary"|"Tuvalu"|1389
"Primary"|"Uganda"|7130512
"Primary"|"Ukraine"|1504727
"Primary"|"United Arab Emirates"|289738
"Primary"|"United Kingdom of Great Britain and Northern Ireland"|4135178
"Primary"|"United Republic of Tanzania"|8280317
"Primary"|"United States of America"|24526039
"Primary"|"United States Virgin Islands"|"NA"
"Primary"|"Uruguay"|305157
"Primary"|"Uzbekistan"|2118408
"Primary"|"Vanuatu"|34152
