"State Code"|"State Name"|"District Code"|"District Name"|"TRU"|"Water-in-premises"|"Water.out.premises"|"Unimproved.sanitation"|"Unsafe.drainage"
"02"|"HIMACHAL PRADESH"|"024"|"Kangra"|"Urban"|81.1|18.9|18.1|62
"02"|"HIMACHAL PRADESH"|"025"|"Lahul & Spiti"|"Total"|25.7|74.3|34|86.4
"02"|"HIMACHAL PRADESH"|"025"|"Lahul & Spiti"|"Rural"|25.7|74.3|34|86.4
"02"|"HIMACHAL PRADESH"|"026"|"Kullu"|"Total"|48.5|51.5|44.2|74.2
"02"|"HIMACHAL PRADESH"|"026"|"Kullu"|"Rural"|43.5|56.5|48.8|80.2
"02"|"HIMACHAL PRADESH"|"026"|"Kullu"|"Urban"|86.6|13.4|10.1|27.9
"02"|"HIMACHAL PRADESH"|"027"|"Mandi"|"Total"|55.9|44.1|18|79.2
"02"|"HIMACHAL PRADESH"|"027"|"Mandi"|"Rural"|53.2|46.8|18.8|83.4
"02"|"HIMACHAL PRADESH"|"027"|"Mandi"|"Urban"|90.6|9.4|8.6|25.1
"02"|"HIMACHAL PRADESH"|"028"|"Hamirpur"|"Total"|66.3|33.7|11.4|83.8
"02"|"HIMACHAL PRADESH"|"028"|"Hamirpur"|"Rural"|64.9|35.1|11.6|86.1
"02"|"HIMACHAL PRADESH"|"028"|"Hamirpur"|"Urban"|86|14|7.8|53.2
"02"|"HIMACHAL PRADESH"|"029"|"Una"|"Total"|65.3|34.7|40.1|87.3
"02"|"HIMACHAL PRADESH"|"029"|"Una"|"Rural"|63.7|36.3|41.6|88.5
"02"|"HIMACHAL PRADESH"|"029"|"Una"|"Urban"|80.6|19.4|25.9|76.1
"02"|"HIMACHAL PRADESH"|"030"|"Bilaspur"|"Total"|52.9|47.1|29.7|81
"02"|"HIMACHAL PRADESH"|"030"|"Bilaspur"|"Rural"|50.2|49.8|31.3|84.8
"02"|"HIMACHAL PRADESH"|"030"|"Bilaspur"|"Urban"|87.8|12.2|6.9|33.5
"02"|"HIMACHAL PRADESH"|"031"|"Solan"|"Total"|60.7|39.3|27.2|58.5
"02"|"HIMACHAL PRADESH"|"031"|"Solan"|"Rural"|54.2|45.8|31.5|64.8
"02"|"HIMACHAL PRADESH"|"031"|"Solan"|"Urban"|84.7|15.3|10.7|34.8
"02"|"HIMACHAL PRADESH"|"032"|"Sirmaur"|"Total"|40.8|59.2|40.1|69.6
"02"|"HIMACHAL PRADESH"|"032"|"Sirmaur"|"Rural"|33.4|66.6|43.6|76.7
"02"|"HIMACHAL PRADESH"|"032"|"Sirmaur"|"Urban"|89.8|10.2|17.1|22.5
"02"|"HIMACHAL PRADESH"|"033"|"Shimla"|"Total"|56.5|43.5|33.2|47.6
"02"|"HIMACHAL PRADESH"|"033"|"Shimla"|"Rural"|46.2|53.8|42.3|58.7
"02"|"HIMACHAL PRADESH"|"033"|"Shimla"|"Urban"|83.2|16.8|9.5|18.6
"02"|"HIMACHAL PRADESH"|"034"|"Kinnaur"|"Total"|60.2|39.8|36|65.7
"02"|"HIMACHAL PRADESH"|"034"|"Kinnaur"|"Rural"|60.2|39.8|36|65.7
"03"|"PUNJAB"|"035"|"Gurdaspur"|"Total"|91.2|8.8|42|83.8
"03"|"PUNJAB"|"035"|"Gurdaspur"|"Rural"|90.9|9.1|51.4|91.7
"03"|"PUNJAB"|"035"|"Gurdaspur"|"Urban"|92|8|17.8|63.6
"03"|"PUNJAB"|"036"|"Kapurthala "|"Total"|88.1|11.9|17.6|68.2
"03"|"PUNJAB"|"036"|"Kapurthala "|"Rural"|85.2|14.8|23.7|82.8
"03"|"PUNJAB"|"036"|"Kapurthala "|"Urban"|93.3|6.7|6.3|41.5
"03"|"PUNJAB"|"037"|"Jalandhar"|"Total"|90.1|9.9|14.4|55.2
"03"|"PUNJAB"|"037"|"Jalandhar"|"Rural"|85.2|14.8|25.3|86.4
"03"|"PUNJAB"|"037"|"Jalandhar"|"Urban"|94.4|5.6|4.8|27.6
"03"|"PUNJAB"|"038"|"Hoshiarpur"|"Total"|84.6|15.4|36.9|85
"03"|"PUNJAB"|"038"|"Hoshiarpur"|"Rural"|82.7|17.3|43.6|93.1
"03"|"PUNJAB"|"038"|"Hoshiarpur"|"Urban"|91.6|8.4|11.9|55.3
"03"|"PUNJAB"|"039"|"Shahid Bhagat Singh Nagar "|"Total"|87.2|12.8|30.1|84.8
"03"|"PUNJAB"|"039"|"Shahid Bhagat Singh Nagar "|"Rural"|86.3|13.7|34|89.5
"03"|"PUNJAB"|"039"|"Shahid Bhagat Singh Nagar "|"Urban"|90.6|9.4|15.7|66.6
"03"|"PUNJAB"|"040"|"Fatehgarh Sahib"|"Total"|90.7|9.3|15|73.8
"03"|"PUNJAB"|"040"|"Fatehgarh Sahib"|"Rural"|89.7|10.3|18.7|89
"03"|"PUNJAB"|"040"|"Fatehgarh Sahib"|"Urban"|92.6|7.4|7.5|42.9
"03"|"PUNJAB"|"041"|"Ludhiana"|"Total"|92.2|7.8|8.9|51.4
"03"|"PUNJAB"|"041"|"Ludhiana"|"Rural"|88.5|11.5|16.3|86.7
"03"|"PUNJAB"|"041"|"Ludhiana"|"Urban"|94.6|5.4|4.2|28.8
"03"|"PUNJAB"|"042"|"Moga"|"Total"|79.4|20.6|20|82.7
"03"|"PUNJAB"|"042"|"Moga"|"Rural"|76.6|23.4|23.7|91.5
"03"|"PUNJAB"|"042"|"Moga"|"Urban"|88.4|11.6|7.6|54.9
"03"|"PUNJAB"|"043"|"Firozpur"|"Total"|76.6|23.4|33.2|84.9
"03"|"PUNJAB"|"043"|"Firozpur"|"Rural"|71.8|28.2|40.7|96
"03"|"PUNJAB"|"043"|"Firozpur"|"Urban"|89.5|10.5|13.6|55.6
"03"|"PUNJAB"|"044"|"Muktsar"|"Total"|72.8|27.2|33.5|81.9
"03"|"PUNJAB"|"044"|"Muktsar"|"Rural"|66.6|33.4|41.6|93.6
"03"|"PUNJAB"|"044"|"Muktsar"|"Urban"|88.2|11.8|13.5|52.9
"03"|"PUNJAB"|"045"|"Faridkot"|"Total"|80.6|19.4|22.1|86.2
"03"|"PUNJAB"|"045"|"Faridkot"|"Rural"|75.1|24.9|28.3|93.4
"03"|"PUNJAB"|"045"|"Faridkot"|"Urban"|90.7|9.3|11|72.8
"03"|"PUNJAB"|"046"|"Bathinda"|"Total"|79.5|20.5|28.9|78.3
"03"|"PUNJAB"|"046"|"Bathinda"|"Rural"|74.5|25.5|38.2|93.1
"03"|"PUNJAB"|"046"|"Bathinda"|"Urban"|88.5|11.5|12.2|51.7
"03"|"PUNJAB"|"047"|"Mansa"|"Total"|73.6|26.4|44.4|90.5
"03"|"PUNJAB"|"047"|"Mansa"|"Rural"|70|30|51.1|95.8
"03"|"PUNJAB"|"047"|"Mansa"|"Urban"|86.7|13.3|20.8|70.8
"03"|"PUNJAB"|"048"|"Patiala"|"Total"|84.9|15.1|16.6|66.3
"03"|"PUNJAB"|"048"|"Patiala"|"Rural"|77.5|22.5|25.5|88
"03"|"PUNJAB"|"048"|"Patiala"|"Urban"|94.9|5.1|4.4|36.3
"03"|"PUNJAB"|"049"|"Amritsar "|"Total"|93.2|6.8|22.7|57
"03"|"PUNJAB"|"049"|"Amritsar "|"Rural"|92.4|7.6|40.9|89.7
